// This data is used to show the mapping from input to output when under no load.
// There is a dead zone region, and the mapping may not be linear.
// Ticks / second; Input (PWM units -1024 -> 1024)
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 60.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 70.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 80.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 90.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 100.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 110.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 120.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
90.09, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 130.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 140.00
0.00, 150.00
0.00, 150.00
0.00, 150.00
0.00, 150.00
0.00, 150.00
0.00, 150.00
0.00, 150.00
0.00, 150.00
0.00, 150.00
0.00, 150.00
0.00, 150.00
0.00, 150.00
89.90, 150.00
88.56, 150.00
265.49, 150.00
